URUNID;MIKTAR;FIRMAID;SEHIR;URUNTIPIID;SIPARISTARIHI;GELDIGITARIHI;TEDARIKSURESI
K477;1;T-029;BURSA;1;8 Temmuz 2019 Pazartesi;10 Temmuz 2019 Çarşamba;2
K669;1;T-016;İSTANBUL;1;12 Temmuz 2019 Cuma;16 Temmuz 2019 Salı;4
K75;1;T-018;İSTANBUL;1;21 Ağustos 2019 Çarşamba;22 Ağustos 2019 Perşembe;1
K669;1;T-016;İSTANBUL;1;19 Ağustos 2019 Pazartesi;20 Ağustos 2019 Salı;1
K513;1;T-034;İSTANBUL;1;3 Eylül 2019 Salı;4 Eylül 2019 Çarşamba;1
K669;1;T-0211;KOCAELİ;1;6 Eylül 2019 Cuma;9 Eylül 2019 Pazartesi;3
K669;1;T-0211;KOCAELİ;1;9 Eylül 2019 Pazartesi;12 Eylül 2019 Perşembe;3
K669;1;T-0211;KOCAELİ;1;16 Eylül 2019 Pazartesi;17 Eylül 2019 Salı;1
K669;1;T-0211;KOCAELİ;1;26 Eylül 2019 Perşembe;27 Eylül 2019 Cuma;1
K637;1;T-015;İSTANBUL;1;20 Eylül 2019 Cuma;27 Eylül 2019 Cuma;7
K335;1;T-015;İSTANBUL;1;30 Eylül 2019 Pazartesi;1 Ekim 2019 Salı;1
K407;1;T-0133;İSTANBUL;1;30 Eylül 2019 Pazartesi;1 Ekim 2019 Salı;1
K669;1;T-0211;KOCAELİ;1;3 Ekim 2019 Perşembe;4 Ekim 2019 Cuma;1
K669;1;T-0211;KOCAELİ;1;18 Ekim 2019 Cuma;21 Ekim 2019 Pazartesi;3
K669;1;T-0211;KOCAELİ;1;24 Ekim 2019 Perşembe;25 Ekim 2019 Cuma;1
K669;1;T-0211;KOCAELİ;1;7 Kasım 2019 Perşembe;8 Kasım 2019 Cuma;1
K669;1;T-0211;KOCAELİ;1;18 Kasım 2019 Pazartesi;19 Kasım 2019 Salı;1
K669;1;T-0211;KOCAELİ;1;25 Kasım 2019 Pazartesi;26 Kasım 2019 Salı;1
K669;1;T-0211;KOCAELİ;1;10 Aralık 2019 Salı;11 Aralık 2019 Çarşamba;1
K669;1;T-0211;KOCAELİ;1;3 Aralık 2019 Salı;4 Aralık 2019 Çarşamba;1
K75;1;T-018;İSTANBUL;1;9 Aralık 2019 Pazartesi;10 Aralık 2019 Salı;1
K522;1;T-034;İSTANBUL;1;20 Aralık 2019 Cuma;25 Aralık 2019 Çarşamba;5
K477;1;T-029;BURSA;1;26 Aralık 2019 Perşembe;27 Aralık 2019 Cuma;1
K669;1;T-0211;KOCAELİ;1;2 Ocak 2020 Perşembe;7 Ocak 2020 Salı;5
K669;1;T-0211;KOCAELİ;1;14 Ocak 2020 Salı;15 Ocak 2020 Çarşamba;1
K669;1;T-0211;KOCAELİ;1;21 Ocak 2020 Salı;22 Ocak 2020 Çarşamba;1
K637;1;T-015;İSTANBUL;1;21 Ocak 2020 Salı;24 Ocak 2020 Cuma;3
K669;1;T-0211;KOCAELİ;1;30 Ocak 2020 Perşembe;31 Ocak 2020 Cuma;1
K477;1;T-029;BURSA;1;31 Ocak 2020 Cuma;3 Şubat 2020 Pazartesi;3
K669;1;T-0211;KOCAELİ;1;6 Şubat 2020 Perşembe;7 Şubat 2020 Cuma;1
K335;1;T-015;İSTANBUL;1;10 Şubat 2020 Pazartesi;11 Şubat 2020 Salı;1
K669;1;T-0211;KOCAELİ;1;20 Şubat 2020 Perşembe;21 Şubat 2020 Cuma;1
K669;1;T-0211;KOCAELİ;1;26 Şubat 2020 Çarşamba;27 Şubat 2020 Perşembe;1
K628;1;T-015;İSTANBUL;1;4 Mart 2020 Çarşamba;5 Mart 2020 Perşembe;1
K669;1;T-0211;KOCAELİ;1;5 Mart 2020 Perşembe;10 Mart 2020 Salı;5
K669;1;T-0211;KOCAELİ;1;16 Mart 2020 Pazartesi;18 Mart 2020 Çarşamba;2
K120;1;T-036;İSTANBUL;1;5 Mart 2020 Perşembe;10 Mart 2020 Salı;5
K746;1;T-0129;TEKİRDAĞ;1;9 Mart 2020 Pazartesi;10 Mart 2020 Salı;1
K669;1;T-0211;KOCAELİ;1;31 Mart 2020 Salı;1 Nisan 2020 Çarşamba;1
K422;1;T-0152;TEKİRDAĞ;1;31 Mart 2020 Salı;6 Nisan 2020 Pazartesi;6
K477;1;T-029;BURSA;1;6 Nisan 2020 Pazartesi;8 Nisan 2020 Çarşamba;2
K669;1;T-0211;KOCAELİ;1;28 Nisan 2020 Salı;29 Nisan 2020 Çarşamba;1
K997;1;T-029;BURSA;1;28 Nisan 2020 Salı;29 Nisan 2020 Çarşamba;1
K477;1;T-029;BURSA;1;28 Nisan 2020 Salı;29 Nisan 2020 Çarşamba;1
K335;1;T-015;İSTANBUL;1;6 Mayıs 2020 Çarşamba;7 Mayıs 2020 Perşembe;1
K669;1;T-0211;KOCAELİ;1;11 Mayıs 2020 Pazartesi;12 Mayıs 2020 Salı;1
K669;1;T-0211;KOCAELİ;1;22 Haziran 2020 Pazartesi;23 Haziran 2020 Salı;1
K669;1;T-0211;KOCAELİ;1;6 Temmuz 2020 Pazartesi;7 Temmuz 2020 Salı;1
K669;1;T-0211;KOCAELİ;1;13 Temmuz 2020 Pazartesi;14 Temmuz 2020 Salı;1
K730;1;T-060;TEKİRDAĞ;1;10 Ağustos 2020 Pazartesi;11 Ağustos 2020 Salı;1
K669;1;T-0211;KOCAELİ;1;11 Ağustos 2020 Salı;12 Ağustos 2020 Çarşamba;1
K730;1;T-060;TEKİRDAĞ;1;18 Ağustos 2020 Salı;19 Ağustos 2020 Çarşamba;1
K669;1;T-0211;KOCAELİ;1;31 Ağustos 2020 Pazartesi;1 Eylül 2020 Salı;1
K407;1;T-0133;İSTANBUL;1;4 Eylül 2020 Cuma;10 Eylül 2020 Perşembe;6
K730;1;T-060;TEKİRDAĞ;1;8 Eylül 2020 Salı;9 Eylül 2020 Çarşamba;1
K669;1;T-0211;KOCAELİ;1;7 Eylül 2020 Pazartesi;8 Eylül 2020 Salı;1
K669;1;T-0211;KOCAELİ;1;11 Eylül 2020 Cuma;14 Eylül 2020 Pazartesi;3
K730;1;T-060;TEKİRDAĞ;1;14 Eylül 2020 Pazartesi;15 Eylül 2020 Salı;1
K730;1;T-060;TEKİRDAĞ;1;16 Eylül 2020 Çarşamba;17 Eylül 2020 Perşembe;1
K788;1;T-060;TEKİRDAĞ;1;18 Eylül 2020 Cuma;21 Eylül 2020 Pazartesi;3
K120;1;T-036;İSTANBUL;1;21 Eylül 2020 Pazartesi;22 Eylül 2020 Salı;1
K407;1;T-0133;İSTANBUL;1;19 Eylül 2020 Cumartesi;22 Eylül 2020 Salı;3
K669;1;T-0211;KOCAELİ;1;23 Eylül 2020 Çarşamba;24 Eylül 2020 Perşembe;1
K788;1;T-060;TEKİRDAĞ;1;23 Eylül 2020 Çarşamba;24 Eylül 2020 Perşembe;1
K730;1;T-060;TEKİRDAĞ;1;23 Eylül 2020 Çarşamba;24 Eylül 2020 Perşembe;1
K730;1;T-060;TEKİRDAĞ;1;1 Ekim 2020 Perşembe;2 Ekim 2020 Cuma;1
K669;1;T-0211;KOCAELİ;1;8 Ekim 2020 Perşembe;9 Ekim 2020 Cuma;1
K788;1;T-060;TEKİRDAĞ;1;8 Ekim 2020 Perşembe;12 Ekim 2020 Pazartesi;4
K669;1;T-0211;KOCAELİ;1;15 Ekim 2020 Perşembe;16 Ekim 2020 Cuma;1
K730;1;T-060;TEKİRDAĞ;1;19 Ekim 2020 Pazartesi;20 Ekim 2020 Salı;1
K669;1;T-0211;KOCAELİ;1;21 Ekim 2020 Çarşamba;22 Ekim 2020 Perşembe;1
K730;1;T-060;TEKİRDAĞ;1;22 Ekim 2020 Perşembe;23 Ekim 2020 Cuma;1
K788;1;T-060;TEKİRDAĞ;1;26 Ekim 2020 Pazartesi;27 Ekim 2020 Salı;1
K522;1;T-034;İSTANBUL;1;23 Ekim 2020 Cuma;27 Ekim 2020 Salı;4
K669;1;T-0211;KOCAELİ;1;27 Ekim 2020 Salı;30 Ekim 2020 Cuma;3
K335;1;T-015;İSTANBUL;1;30 Ekim 2020 Cuma;31 Ekim 2020 Cumartesi;1
K669;1;T-0211;KOCAELİ;1;3 Kasım 2020 Salı;4 Kasım 2020 Çarşamba;1
K746;1;T-0129;TEKİRDAĞ;1;2 Kasım 2020 Pazartesi;3 Kasım 2020 Salı;1
K390;1;T-060;TEKİRDAĞ;1;3 Kasım 2020 Salı;6 Kasım 2020 Cuma;3
K669;1;T-0211;KOCAELİ;1;9 Kasım 2020 Pazartesi;10 Kasım 2020 Salı;1
K730;1;T-060;TEKİRDAĞ;1;13 Kasım 2020 Cuma;16 Kasım 2020 Pazartesi;3
K746;1;T-0129;TEKİRDAĞ;1;19 Kasım 2020 Perşembe;20 Kasım 2020 Cuma;1
K669;1;T-0211;KOCAELİ;1;23 Kasım 2020 Pazartesi;24 Kasım 2020 Salı;1
K788;1;T-060;TEKİRDAĞ;1;23 Kasım 2020 Pazartesi;25 Kasım 2020 Çarşamba;2
K788;1;T-060;TEKİRDAĞ;1;25 Kasım 2020 Çarşamba;26 Kasım 2020 Perşembe;1
K407;1;T-0133;İSTANBUL;1;3 Aralık 2020 Perşembe;4 Aralık 2020 Cuma;1
K669;1;T-0211;KOCAELİ;1;9 Aralık 2020 Çarşamba;10 Aralık 2020 Perşembe;1
K669;1;T-0211;KOCAELİ;1;16 Aralık 2020 Çarşamba;17 Aralık 2020 Perşembe;1
K788;1;T-060;TEKİRDAĞ;1;18 Aralık 2020 Cuma;21 Aralık 2020 Pazartesi;3
K669;1;T-0211;KOCAELİ;1;24 Aralık 2020 Perşembe;25 Aralık 2020 Cuma;1
K788;1;T-060;TEKİRDAĞ;1;14 Ocak 2021 Perşembe;18 Ocak 2021 Pazartesi;4
K669;1;T-0211;KOCAELİ;1;15 Ocak 2021 Cuma;19 Ocak 2021 Salı;4
K669;1;T-0211;KOCAELİ;1;25 Ocak 2021 Pazartesi;26 Ocak 2021 Salı;1
K513;1;T-034;İSTANBUL;1;19 Ocak 2021 Salı;23 Ocak 2021 Cumartesi;4
K628;1;T-015;İSTANBUL;1;29 Ocak 2021 Cuma;2 Şubat 2021 Salı;4
K730;1;T-060;TEKİRDAĞ;1;1 Şubat 2021 Pazartesi;2 Şubat 2021 Salı;1
K669;1;T-0211;KOCAELİ;1;2 Şubat 2021 Salı;4 Şubat 2021 Perşembe;2
K669;1;T-0211;KOCAELİ;1;12 Şubat 2021 Cuma;15 Şubat 2021 Pazartesi;3
K669;1;T-0211;KOCAELİ;1;18 Şubat 2021 Perşembe;19 Şubat 2021 Cuma;1
K522;1;T-034;İSTANBUL;1;24 Şubat 2021 Çarşamba;25 Şubat 2021 Perşembe;1
K669;1;T-0211;KOCAELİ;1;17 Mart 2021 Çarşamba;18 Mart 2021 Perşembe;1
K669;1;T-0211;KOCAELİ;1;1 Mart 2021 Pazartesi;2 Mart 2021 Salı;1
K628;1;T-015;İSTANBUL;1;1 Mart 2021 Pazartesi;3 Mart 2021 Çarşamba;2
K730;1;T-060;TEKİRDAĞ;1;26 Şubat 2021 Cuma;3 Mart 2021 Çarşamba;5
K730;1;T-060;TEKİRDAĞ;1;1 Mart 2021 Pazartesi;3 Mart 2021 Çarşamba;2
K669;1;T-0211;KOCAELİ;1;8 Mart 2021 Pazartesi;9 Mart 2021 Salı;1
K1084;1;T-0211;KOCAELİ;1;8 Mart 2021 Pazartesi;9 Mart 2021 Salı;1
K788;1;T-060;TEKİRDAĞ;1;11 Mart 2021 Perşembe;15 Mart 2021 Pazartesi;4
K407;1;T-0133;İSTANBUL;1;15 Mart 2021 Pazartesi;16 Mart 2021 Salı;1
