URUNID;MIKTAR;FIRMAID;SEHIR;URUNTIPIID;SIPARISTARIHI;GELDIGITARIHI;TEDARIKSURESI
30.02.02.0002;7340;S5499;BANDIRMA;1;12 Şubat 2021 Cuma;15 Şubat 2021 Pazartesi;3
30.02.01.0009;1200;S0217;BURSA;1;15 Ocak 2020 Çarşamba;16 Ocak 2020 Perşembe;1
30.02.01.0009;480;S0217;BURSA;1;18 Temmuz 2016 Pazartesi;20 Temmuz 2016 Çarşamba;2
30.02.01.0009;600;S0217;BURSA;1;2 Mayıs 2016 Pazartesi;4 Mayıs 2016 Çarşamba;2
30.02.01.0009;480;S0217;BURSA;1;25 Mayıs 2016 Çarşamba;26 Mayıs 2016 Perşembe;1
30.02.01.0009;960;S0217;BURSA;1;21 Şubat 2019 Perşembe;22 Şubat 2019 Cuma;1
30.02.01.0009;360;S0217;BURSA;1;23 Ekim 2015 Cuma;24 Ekim 2015 Cumartesi;1
30.02.01.0009;1800;S0217;BURSA;1;8 Ocak 2018 Pazartesi;9 Ocak 2018 Salı;1
30.02.01.0009;480;S0217;BURSA;1;13 Nisan 2016 Çarşamba;14 Nisan 2016 Perşembe;1
30.02.01.0009;120;S0217;BURSA;1;23 Ekim 2015 Cuma;24 Ekim 2015 Cumartesi;1
30.02.01.0009;480;S0217;BURSA;1;14 Haziran 2016 Salı;15 Haziran 2016 Çarşamba;1
30.02.01.0022;140;S0217;BURSA;1;10 Şubat 2022 Perşembe;23 Şubat 2022 Çarşamba;13
30.02.02.0006;1200;S0217;BURSA;1;2 Mayıs 2016 Pazartesi;4 Mayıs 2016 Çarşamba;2
30.02.02.0006;1200;S0217;BURSA;1;25 Mayıs 2016 Çarşamba;26 Mayıs 2016 Perşembe;1
30.02.02.0009;1200;S0217;BURSA;1;18 Kasım 2021 Perşembe;19 Kasım 2021 Cuma;1
30.02.02.0009;360;S0217;BURSA;1;20 Ekim 2017 Cuma;23 Ekim 2017 Pazartesi;3
30.02.02.0009;1200;S0217;BURSA;1;8 Temmuz 2020 Çarşamba;9 Temmuz 2020 Perşembe;1
30.02.04.0007;240;S0217;BURSA;1;23 Ekim 2015 Cuma;24 Ekim 2015 Cumartesi;1
30.02.04.0007;240;S0217;BURSA;1;18 Temmuz 2016 Pazartesi;20 Temmuz 2016 Çarşamba;2
30.02.04.0007;120;S0217;BURSA;1;23 Ekim 2015 Cuma;24 Ekim 2015 Cumartesi;1
30.02.04.0008;480;S0217;BURSA;1;25 Mayıs 2016 Çarşamba;26 Mayıs 2016 Perşembe;1
30.02.04.0008;1000;S0217;BURSA;1;1 Eylül 2014 Pazartesi;2 Eylül 2014 Salı;1
30.02.04.0009;1000;S0217;BURSA;1;2 Temmuz 2018 Pazartesi;3 Temmuz 2018 Salı;1
30.02.04.0009;1000;S0217;BURSA;1;13 Ağustos 2016 Cumartesi;15 Ağustos 2016 Pazartesi;2
30.02.04.0009;1000;S0217;BURSA;1;25 Temmuz 2018 Çarşamba;26 Temmuz 2018 Perşembe;1
30.02.04.0009;2000;S0217;BURSA;1;1 Ağustos 2013 Perşembe;2 Ağustos 2013 Cuma;1
30.02.04.0009;1000;S0217;BURSA;1;24 Temmuz 2019 Çarşamba;25 Temmuz 2019 Perşembe;1
30.02.04.0009;1000;S0217;BURSA;1;13 Haziran 2013 Perşembe;14 Haziran 2013 Cuma;1
30.02.04.0009;1000;S0217;BURSA;1;7 Ocak 2014 Salı;8 Ocak 2014 Çarşamba;1
30.02.04.0009;2000;S0217;BURSA;1;1 Mayıs 2013 Çarşamba;2 Mayıs 2013 Perşembe;1
30.02.04.0009;1000;S0217;BURSA;1;4 Temmuz 2013 Perşembe;6 Temmuz 2013 Cumartesi;2
30.02.04.0009;1000;S0217;BURSA;1;5 Mart 2015 Perşembe;6 Mart 2015 Cuma;1
30.02.04.0009;1000;S0217;BURSA;1;25 Mayıs 2016 Çarşamba;26 Mayıs 2016 Perşembe;1
30.02.04.0009;1000;S0217;BURSA;1;2 Ocak 2020 Perşembe;3 Ocak 2020 Cuma;1
30.02.04.0009;1000;S0217;BURSA;1;16 Mayıs 2018 Çarşamba;17 Mayıs 2018 Perşembe;1
30.02.04.0009;1000;S0217;BURSA;1;4 Nisan 2016 Pazartesi;5 Nisan 2016 Salı;1
30.02.04.0009;1000;S0217;BURSA;1;6 Mayıs 2015 Çarşamba;7 Mayıs 2015 Perşembe;1
30.02.04.0009;1000;S0217;BURSA;1;14 Eylül 2020 Pazartesi;15 Eylül 2020 Salı;1
30.02.04.0009;1000;S0217;BURSA;1;8 Temmuz 2020 Çarşamba;9 Temmuz 2020 Perşembe;1
30.02.04.0011;1000;S0217;BURSA;1;1 Ağustos 2013 Perşembe;2 Ağustos 2013 Cuma;1
30.02.04.0011;2000;S0217;BURSA;1;1 Mayıs 2013 Çarşamba;2 Mayıs 2013 Perşembe;1
30.02.04.0018;1000;S0217;BURSA;1;13 Haziran 2013 Perşembe;14 Haziran 2013 Cuma;1
30.02.04.0018;1000;S0217;BURSA;1;1 Mayıs 2013 Çarşamba;2 Mayıs 2013 Perşembe;1
30.02.04.0018;1000;S0217;BURSA;1;4 Temmuz 2013 Perşembe;6 Temmuz 2013 Cumartesi;2
30.02.04.0018;2000;S0217;BURSA;1;1 Ağustos 2013 Perşembe;2 Ağustos 2013 Cuma;1
30.02.04.0019;100;S0217;BURSA;1;23 Ekim 2015 Cuma;30 Ekim 2015 Cuma;7
30.02.04.0026;1000;S0217;BURSA;1;2 Temmuz 2020 Perşembe;4 Temmuz 2020 Cumartesi;2
30.02.04.0026;1000;S0217;BURSA;1;13 Ağustos 2016 Cumartesi;15 Ağustos 2016 Pazartesi;2
30.02.04.0026;2000;S0217;BURSA;1;18 Temmuz 2016 Pazartesi;20 Temmuz 2016 Çarşamba;2
30.02.04.0026;1000;S0217;BURSA;1;3 Ağustos 2015 Pazartesi;4 Ağustos 2015 Salı;1
30.02.04.0026;2000;S0217;BURSA;1;14 Haziran 2016 Salı;15 Haziran 2016 Çarşamba;1
30.02.04.0026;1000;S0217;BURSA;1;2 Mayıs 2016 Pazartesi;4 Mayıs 2016 Çarşamba;2
30.02.04.0026;1000;S0217;BURSA;1;18 Ocak 2021 Pazartesi;19 Ocak 2021 Salı;1
30.02.04.0026;1000;S0217;BURSA;1;29 Haziran 2015 Pazartesi;30 Haziran 2015 Salı;1
30.02.04.0026;1000;S0217;BURSA;1;11 Eylül 2014 Perşembe;12 Eylül 2014 Cuma;1
30.02.04.0026;1000;S0217;BURSA;1;20 Aralık 2016 Salı;21 Aralık 2016 Çarşamba;1
30.02.04.0026;1000;S0217;BURSA;1;27 Ağustos 2020 Perşembe;28 Ağustos 2020 Cuma;1
30.02.04.0026;1000;S0217;BURSA;1;15 Mart 2019 Cuma;16 Mart 2019 Cumartesi;1
30.02.04.0026;1000;S0217;BURSA;1;10 Ağustos 2018 Cuma;14 Ağustos 2018 Salı;4
30.02.04.0026;1000;S0217;BURSA;1;1 Haziran 2020 Pazartesi;3 Haziran 2020 Çarşamba;2
30.02.04.0026;1000;S0217;BURSA;1;5 Mayıs 2016 Perşembe;7 Mayıs 2016 Cumartesi;2
30.02.04.0026;2000;S0217;BURSA;1;25 Nisan 2016 Pazartesi;26 Nisan 2016 Salı;1
30.02.04.0026;1000;S0217;BURSA;1;5 Mart 2015 Perşembe;6 Mart 2015 Cuma;1
30.02.04.0031;360;S0217;BURSA;1;25 Mayıs 2016 Çarşamba;26 Mayıs 2016 Perşembe;1
30.02.04.0031;120;S0217;BURSA;1;25 Nisan 2016 Pazartesi;26 Nisan 2016 Salı;1
30.02.04.0040;1000;S0217;BURSA;1;5 Haziran 2017 Pazartesi;8 Haziran 2017 Perşembe;3
30.02.04.0040;1000;S0217;BURSA;1;1 Kasım 2016 Salı;2 Kasım 2016 Çarşamba;1
30.02.04.0040;1000;S0217;BURSA;1;16 Mayıs 2018 Çarşamba;17 Mayıs 2018 Perşembe;1
30.02.04.0040;1000;S0217;BURSA;1;17 Mart 2016 Perşembe;18 Mart 2016 Cuma;1
30.02.04.0040;1000;S0217;BURSA;1;15 Ağustos 2017 Salı;26 Ağustos 2017 Cumartesi;11
30.02.04.0040;1000;S0217;BURSA;1;25 Mayıs 2016 Çarşamba;26 Mayıs 2016 Perşembe;1
30.02.04.0040;1000;S0217;BURSA;1;28 Kasım 2016 Pazartesi;29 Kasım 2016 Salı;1
30.02.04.0040;1000;S0217;BURSA;1;2 Nisan 2018 Pazartesi;3 Nisan 2018 Salı;1
30.02.04.0040;1000;S0217;BURSA;1;21 Şubat 2019 Perşembe;23 Şubat 2019 Cumartesi;2
30.02.04.0040;1000;S0217;BURSA;1;20 Ekim 2017 Cuma;23 Ekim 2017 Pazartesi;3
30.02.04.0040;1000;S0217;BURSA;1;1 Ekim 2018 Pazartesi;2 Ekim 2018 Salı;1
30.02.04.0045;240;S0217;BURSA;1;18 Temmuz 2016 Pazartesi;20 Temmuz 2016 Çarşamba;2
30.02.04.0045;240;S0217;BURSA;1;8 Şubat 2022 Salı;10 Şubat 2022 Perşembe;2
30.02.04.0068;120;S0217;BURSA;1;19 Ağustos 2020 Çarşamba;20 Ağustos 2020 Perşembe;1
30.02.04.0068;240;S0217;BURSA;1;18 Kasım 2021 Perşembe;19 Kasım 2021 Cuma;1
30.02.04.0068;1000;S0217;BURSA;1;18 Kasım 2021 Perşembe;19 Kasım 2021 Cuma;1
30.02.04.0068;120;S0217;BURSA;1;19 Ağustos 2020 Çarşamba;20 Ağustos 2020 Perşembe;1
30.02.04.0073;3000;S0217;BURSA;1;1 Haziran 2021 Salı;2 Haziran 2021 Çarşamba;1
30.02.04.0073;1000;S0217;BURSA;1;13 Temmuz 2021 Salı;14 Temmuz 2021 Çarşamba;1
30.02.04.0073;2000;S0217;BURSA;1;23 Mart 2021 Salı;24 Mart 2021 Çarşamba;1
30.02.04.0073;1000;S0217;BURSA;1;1 Haziran 2021 Salı;2 Haziran 2021 Çarşamba;1
30.02.04.0073;2000;S0217;BURSA;1;28 Haziran 2021 Pazartesi;29 Haziran 2021 Salı;1
30.02.06.0004;1000;S0217;BURSA;1;19 Ekim 2016 Çarşamba;20 Ekim 2016 Perşembe;1
30.02.06.0004;1000;S0217;BURSA;1;2 Mayıs 2016 Pazartesi;6 Mayıs 2016 Cuma;4
30.02.07.0005;420;S0217;BURSA;1;1 Ağustos 2013 Perşembe;2 Ağustos 2013 Cuma;1
30.02.07.0005;600;S0217;BURSA;1;5 Mart 2015 Perşembe;6 Mart 2015 Cuma;1
30.02.07.0005;280;S0217;BURSA;1;19 Kasım 2014 Çarşamba;20 Kasım 2014 Perşembe;1
30.02.07.0005;280;S0217;BURSA;1;4 Temmuz 2013 Perşembe;6 Temmuz 2013 Cumartesi;2
30.02.07.0005;280;S0217;BURSA;1;13 Haziran 2013 Perşembe;14 Haziran 2013 Cuma;1
30.02.07.0005;280;S0217;BURSA;1;18 Mart 2013 Pazartesi;19 Mart 2013 Salı;1
30.02.07.0005;140;S0217;BURSA;1;3 Nisan 2013 Çarşamba;5 Nisan 2013 Cuma;2
30.02.07.0005;280;S0217;BURSA;1;1 Mayıs 2013 Çarşamba;2 Mayıs 2013 Perşembe;1
30.02.07.0007;1000;S0217;BURSA;1;16 Mayıs 2018 Çarşamba;18 Mayıs 2018 Cuma;2
30.02.07.0007;1000;S0217;BURSA;1;30 Ekim 2017 Pazartesi;31 Ekim 2017 Salı;1
30.02.07.0007;1000;S0217;BURSA;1;3 Nisan 2013 Çarşamba;5 Nisan 2013 Cuma;2
30.02.07.0007;1000;S0217;BURSA;1;1 Haziran 2021 Salı;2 Haziran 2021 Çarşamba;1
30.02.07.0007;2000;S0217;BURSA;1;1 Mayıs 2013 Çarşamba;2 Mayıs 2013 Perşembe;1
30.02.07.0007;1000;S0217;BURSA;1;5 Nisan 2021 Pazartesi;7 Nisan 2021 Çarşamba;2
30.02.07.0007;2000;S0217;BURSA;1;1 Ağustos 2013 Perşembe;2 Ağustos 2013 Cuma;1
30.02.07.0007;1000;S0217;BURSA;1;24 Aralık 2020 Perşembe;25 Aralık 2020 Cuma;1
30.02.07.0007;1000;S0217;BURSA;1;14 Temmuz 2020 Salı;16 Temmuz 2020 Perşembe;2
30.02.07.0007;1000;S0217;BURSA;1;3 Ocak 2018 Çarşamba;5 Ocak 2018 Cuma;2
30.02.07.0007;1000;S0217;BURSA;1;12 Şubat 2013 Salı;13 Şubat 2013 Çarşamba;1
30.02.07.0007;1000;S0217;BURSA;1;13 Nisan 2016 Çarşamba;15 Nisan 2016 Cuma;2
30.02.07.0007;1000;S0217;BURSA;1;17 Haziran 2020 Çarşamba;18 Haziran 2020 Perşembe;1
30.02.07.0007;1000;S0217;BURSA;1;5 Mart 2015 Perşembe;6 Mart 2015 Cuma;1
30.02.07.0007;2000;S0217;BURSA;1;26 Şubat 2013 Salı;27 Şubat 2013 Çarşamba;1
30.02.07.0007;2000;S0217;BURSA;1;13 Haziran 2013 Perşembe;14 Haziran 2013 Cuma;1
30.02.07.0018;120;S0217;BURSA;1;19 Kasım 2014 Çarşamba;20 Kasım 2014 Perşembe;1
30.02.07.0018;120;S0217;BURSA;1;18 Temmuz 2016 Pazartesi;23 Temmuz 2016 Cumartesi;5
30.02.07.0032;200;S0217;BURSA;1;18 Mayıs 2020 Pazartesi;20 Mayıs 2020 Çarşamba;2
30.02.07.0037;120;S0217;BURSA;1;27 Ağustos 2020 Perşembe;28 Ağustos 2020 Cuma;1
30.02.07.0037;120;S0217;BURSA;1;18 Mayıs 2020 Pazartesi;20 Mayıs 2020 Çarşamba;2
30.02.08.0006;120;S0217;BURSA;1;16 Ocak 2013 Çarşamba;17 Ocak 2013 Perşembe;1
30.02.08.0006;120;S0217;BURSA;1;12 Eylül 2012 Çarşamba;13 Eylül 2012 Perşembe;1
30.02.08.0007;2000;S0217;BURSA;1;19 Kasım 2014 Çarşamba;20 Kasım 2014 Perşembe;1
30.02.08.0007;1000;S0217;BURSA;1;25 Mayıs 2016 Çarşamba;26 Mayıs 2016 Perşembe;1
30.02.08.0007;1000;S0217;BURSA;1;4 Kasım 2013 Pazartesi;5 Kasım 2013 Salı;1
30.02.08.0007;2000;S0217;BURSA;1;1 Ekim 2012 Pazartesi;2 Ekim 2012 Salı;1
30.02.08.0007;1000;S0217;BURSA;1;5 Mart 2015 Perşembe;6 Mart 2015 Cuma;1
30.02.08.0007;1000;S0217;BURSA;1;13 Ağustos 2016 Cumartesi;15 Ağustos 2016 Pazartesi;2
30.02.08.0007;1000;S0217;BURSA;1;3 Nisan 2013 Çarşamba;5 Nisan 2013 Cuma;2
30.02.08.0007;2000;S0217;BURSA;1;1 Ağustos 2013 Perşembe;2 Ağustos 2013 Cuma;1
30.02.08.0007;1000;S0217;BURSA;1;13 Haziran 2013 Perşembe;14 Haziran 2013 Cuma;1
30.02.08.0007;2000;S0217;BURSA;1;1 Mayıs 2013 Çarşamba;2 Mayıs 2013 Perşembe;1
30.02.08.0007;1000;S0217;BURSA;1;23 Ocak 2017 Pazartesi;24 Ocak 2017 Salı;1
30.02.08.0008;120;S0217;BURSA;1;17 Ekim 2015 Cumartesi;19 Ekim 2015 Pazartesi;2
30.02.08.0009;2000;S0217;BURSA;1;1 Ağustos 2013 Perşembe;2 Ağustos 2013 Cuma;1
30.02.08.0009;1000;S0217;BURSA;1;1 Mayıs 2013 Çarşamba;2 Mayıs 2013 Perşembe;1
30.02.08.0023;240;S0217;BURSA;1;26 Ekim 2015 Pazartesi;30 Ekim 2015 Cuma;4
30.02.08.0023;1000;S0217;BURSA;1;2 Mayıs 2016 Pazartesi;5 Mayıs 2016 Perşembe;3
30.02.08.0023;840;S0217;BURSA;1;11 Eylül 2014 Perşembe;13 Eylül 2014 Cumartesi;2
30.02.08.0023;1200;S0217;BURSA;1;21 Ekim 2014 Salı;23 Ekim 2014 Perşembe;2
30.02.08.0023;900;S0217;BURSA;1;5 Mayıs 2016 Perşembe;6 Mayıs 2016 Cuma;1
30.02.08.0023;1000;S0217;BURSA;1;13 Ağustos 2016 Cumartesi;15 Ağustos 2016 Pazartesi;2
30.02.08.0023;2000;S0217;BURSA;1;1 Temmuz 2013 Pazartesi;3 Temmuz 2013 Çarşamba;2
30.02.08.0023;1000;S0217;BURSA;1;13 Haziran 2013 Perşembe;14 Haziran 2013 Cuma;1
30.02.08.0023;1800;S0217;BURSA;1;1 Eylül 2015 Salı;3 Eylül 2015 Perşembe;2
30.02.08.0023;1200;S0217;BURSA;1;22 Haziran 2015 Pazartesi;24 Haziran 2015 Çarşamba;2
30.02.08.0023;1000;S0217;BURSA;1;11 Nisan 2016 Pazartesi;12 Nisan 2016 Salı;1
30.02.08.0023;1000;S0217;BURSA;1;4 Temmuz 2013 Perşembe;6 Temmuz 2013 Cumartesi;2
30.02.08.0023;1000;S0217;BURSA;1;2 Haziran 2016 Perşembe;4 Haziran 2016 Cumartesi;2
30.02.08.0023;1200;S0217;BURSA;1;29 Haziran 2015 Pazartesi;30 Haziran 2015 Salı;1
30.02.08.0023;1000;S0217;BURSA;1;20 Haziran 2013 Perşembe;21 Haziran 2013 Cuma;1
30.02.08.0023;2000;S0217;BURSA;1;18 Temmuz 2016 Pazartesi;20 Temmuz 2016 Çarşamba;2
30.02.08.0023;1200;S0217;BURSA;1;2 Aralık 2015 Çarşamba;3 Aralık 2015 Perşembe;1
30.02.08.0023;1000;S0217;BURSA;1;5 Mayıs 2016 Perşembe;7 Mayıs 2016 Cumartesi;2
30.02.08.0023;2000;S0217;BURSA;1;23 Ocak 2017 Pazartesi;24 Ocak 2017 Salı;1
30.02.08.0023;1000;S0217;BURSA;1;14 Nisan 2016 Perşembe;15 Nisan 2016 Cuma;1
30.02.08.0023;1800;S0217;BURSA;1;6 Mayıs 2015 Çarşamba;7 Mayıs 2015 Perşembe;1
30.02.08.0023;1800;S0217;BURSA;1;27 Ocak 2016 Çarşamba;28 Ocak 2016 Perşembe;1
30.02.08.0023;2000;S0217;BURSA;1;7 Haziran 2013 Cuma;8 Haziran 2013 Cumartesi;1
30.02.08.0023;1000;S0217;BURSA;1;25 Mayıs 2016 Çarşamba;26 Mayıs 2016 Perşembe;1
30.02.08.0023;1800;S0217;BURSA;1;26 Ekim 2015 Pazartesi;30 Ekim 2015 Cuma;4
30.02.08.0023;3000;S0217;BURSA;1;15 Temmuz 2013 Pazartesi;16 Temmuz 2013 Salı;1
30.02.08.0023;1000;S0217;BURSA;1;11 Temmuz 2016 Pazartesi;12 Temmuz 2016 Salı;1
30.02.08.0023;3000;S0217;BURSA;1;9 Temmuz 2013 Salı;10 Temmuz 2013 Çarşamba;1
30.02.08.0023;1000;S0217;BURSA;1;13 Nisan 2016 Çarşamba;15 Nisan 2016 Cuma;2
30.02.08.0023;2400;S0217;BURSA;1;5 Mart 2015 Perşembe;6 Mart 2015 Cuma;1
30.02.08.0023;3000;S0217;BURSA;1;1 Ağustos 2013 Perşembe;2 Ağustos 2013 Cuma;1
30.02.08.0023;2000;S0217;BURSA;1;14 Haziran 2016 Salı;15 Haziran 2016 Çarşamba;1
30.02.08.0023;2000;S0217;BURSA;1;25 Nisan 2016 Pazartesi;27 Nisan 2016 Çarşamba;2
30.02.08.0023;1000;S0217;BURSA;1;13 Haziran 2013 Perşembe;17 Haziran 2013 Pazartesi;4
30.02.08.0023;1000;S0217;BURSA;1;14 Nisan 2016 Perşembe;15 Nisan 2016 Cuma;1
30.02.08.0044;1000;S0217;BURSA;1;13 Nisan 2016 Çarşamba;14 Nisan 2016 Perşembe;1
30.02.08.0044;120;S0217;BURSA;1;17 Mart 2016 Perşembe;18 Mart 2016 Cuma;1
30.02.08.0044;1000;S0217;BURSA;1;13 Ağustos 2018 Pazartesi;14 Ağustos 2018 Salı;1
30.02.08.0049;120;S0217;BURSA;1;18 Temmuz 2016 Pazartesi;19 Temmuz 2016 Salı;1
30.02.08.0049;1000;S0217;BURSA;1;18 Temmuz 2017 Salı;19 Temmuz 2017 Çarşamba;1
30.02.08.0049;2000;S0217;BURSA;1;12 Temmuz 2017 Çarşamba;13 Temmuz 2017 Perşembe;1
30.02.08.0049;2360;S0217;BURSA;1;23 Mayıs 2017 Salı;24 Mayıs 2017 Çarşamba;1
30.02.08.0059;90;S0217;BURSA;1;11 Ocak 2017 Çarşamba;12 Ocak 2017 Perşembe;1
30.02.08.0062;1000;S0217;BURSA;1;18 Mayıs 2020 Pazartesi;20 Mayıs 2020 Çarşamba;2
30.02.08.0062;1000;S0217;BURSA;1;5 Şubat 2020 Çarşamba;6 Şubat 2020 Perşembe;1
30.02.08.0062;1000;S0217;BURSA;1;24 Temmuz 2019 Çarşamba;25 Temmuz 2019 Perşembe;1
30.02.08.0064;1000;S0217;BURSA;1;30 Ekim 2017 Pazartesi;31 Ekim 2017 Salı;1
30.02.08.0064;2000;S0217;BURSA;1;20 Kasım 2017 Pazartesi;21 Kasım 2017 Salı;1
30.02.08.0072;2000;S0217;BURSA;1;10 Ağustos 2018 Cuma;14 Ağustos 2018 Salı;4
30.02.08.0072;1000;S0217;BURSA;1;13 Haziran 2018 Çarşamba;18 Haziran 2018 Pazartesi;5
30.02.08.0072;3000;S0217;BURSA;1;13 Ağustos 2018 Pazartesi;14 Ağustos 2018 Salı;1
30.02.08.0072;1000;S0217;BURSA;1;10 Ağustos 2018 Cuma;11 Ağustos 2018 Cumartesi;1
30.02.08.0096;50;S0217;BURSA;1;6 Aralık 2021 Pazartesi;7 Aralık 2021 Salı;1
30.02.08.0096;25;S0217;BURSA;1;18 Mayıs 2020 Pazartesi;20 Mayıs 2020 Çarşamba;2
30.02.08.0104;30;S0217;BURSA;1;23 Haziran 2021 Çarşamba;24 Haziran 2021 Perşembe;1
30.02.08.0104;115;S0217;BURSA;1;7 Ekim 2021 Perşembe;8 Ekim 2021 Cuma;1
30.02.09.0002;1000;S0217;BURSA;1;15 Ekim 2020 Perşembe;16 Ekim 2020 Cuma;1
30.02.09.0002;1000;S0217;BURSA;1;27 Ağustos 2015 Perşembe;28 Ağustos 2015 Cuma;1
30.02.09.0002;720;S0217;BURSA;1;23 Şubat 2021 Salı;25 Şubat 2021 Perşembe;2
30.02.09.0002;1000;S0217;BURSA;1;21 Temmuz 2014 Pazartesi;22 Temmuz 2014 Salı;1
30.02.09.0002;1000;S0217;BURSA;1;1 Mayıs 2013 Çarşamba;2 Mayıs 2013 Perşembe;1
30.02.09.0002;1000;S0217;BURSA;1;1 Kasım 2012 Perşembe;2 Kasım 2012 Cuma;1
30.02.09.0002;1000;S0217;BURSA;1;5 Mayıs 2016 Perşembe;6 Mayıs 2016 Cuma;1
30.02.09.0002;600;S0217;BURSA;1;23 Mart 2021 Salı;24 Mart 2021 Çarşamba;1
30.02.09.0002;1000;S0217;BURSA;1;25 Mayıs 2016 Çarşamba;26 Mayıs 2016 Perşembe;1
30.02.09.0002;1000;S0217;BURSA;1;4 Eylül 2013 Çarşamba;5 Eylül 2013 Perşembe;1
30.02.09.0002;120;S0217;BURSA;1;4 Eylül 2013 Çarşamba;5 Eylül 2013 Perşembe;1
30.02.09.0002;1000;S0217;BURSA;1;13 Haziran 2013 Perşembe;14 Haziran 2013 Cuma;1
30.02.09.0002;2000;S0217;BURSA;1;26 Nisan 2018 Perşembe;27 Nisan 2018 Cuma;1
30.02.09.0002;1000;S0217;BURSA;1;13 Nisan 2016 Çarşamba;14 Nisan 2016 Perşembe;1
30.02.09.0002;1000;S0217;BURSA;1;11 Nisan 2014 Cuma;12 Nisan 2014 Cumartesi;1
30.02.09.0002;1000;S0217;BURSA;1;13 Ağustos 2016 Cumartesi;15 Ağustos 2016 Pazartesi;2
30.02.09.0002;1000;S0217;BURSA;1;16 Eylül 2014 Salı;18 Eylül 2014 Perşembe;2
30.02.09.0002;1000;S0217;BURSA;1;1 Aralık 2017 Cuma;2 Aralık 2017 Cumartesi;1
30.02.09.0002;1000;S0217;BURSA;1;1 Ağustos 2013 Perşembe;2 Ağustos 2013 Cuma;1
30.02.09.0002;1000;S0217;BURSA;1;5 Mart 2015 Perşembe;6 Mart 2015 Cuma;1
30.02.09.0002;1000;S0217;BURSA;1;4 Kasım 2013 Pazartesi;5 Kasım 2013 Salı;1
30.02.09.0013;120;S0217;BURSA;1;24 Nisan 2017 Pazartesi;29 Nisan 2017 Cumartesi;5
30.02.10.0004;1200;S0217;BURSA;1;16 Mayıs 2018 Çarşamba;17 Mayıs 2018 Perşembe;1
30.02.10.0004;1200;S0217;BURSA;1;11 Haziran 2020 Perşembe;12 Haziran 2020 Cuma;1
30.02.10.0004;1200;S0217;BURSA;1;24 Temmuz 2019 Çarşamba;25 Temmuz 2019 Perşembe;1
30.02.10.0004;1200;S0217;BURSA;1;10 Ağustos 2018 Cuma;14 Ağustos 2018 Salı;4
30.02.10.0004;1200;S0217;BURSA;1;1 Ağustos 2013 Perşembe;2 Ağustos 2013 Cuma;1
30.02.10.0004;1200;S0217;BURSA;1;27 Ocak 2021 Çarşamba;28 Ocak 2021 Perşembe;1
30.02.10.0004;1200;S0217;BURSA;1;14 Eylül 2020 Pazartesi;15 Eylül 2020 Salı;1
30.02.10.0004;1200;S0217;BURSA;1;1 Mayıs 2013 Çarşamba;2 Mayıs 2013 Perşembe;1
30.02.10.0004;1200;S0217;BURSA;1;13 Haziran 2013 Perşembe;14 Haziran 2013 Cuma;1
30.02.10.0004;1200;S0217;BURSA;1;3 Nisan 2013 Çarşamba;5 Nisan 2013 Cuma;2
30.02.10.0004;1200;S0217;BURSA;1;18 Temmuz 2018 Çarşamba;19 Temmuz 2018 Perşembe;1
30.02.10.0018;1000;S0217;BURSA;1;1 Eylül 2016 Perşembe;3 Eylül 2016 Cumartesi;2
30.02.10.0018;120;S0217;BURSA;1;18 Temmuz 2016 Pazartesi;22 Temmuz 2016 Cuma;4
30.02.10.0020;1000;S0217;BURSA;1;18 Kasım 2021 Perşembe;19 Kasım 2021 Cuma;1
30.02.10.0020;1000;S0217;BURSA;1;1 Haziran 2021 Salı;2 Haziran 2021 Çarşamba;1
30.02.10.0020;1000;S0217;BURSA;1;23 Eylül 2021 Perşembe;24 Eylül 2021 Cuma;1
30.02.10.0020;1000;S0217;BURSA;1;5 Ocak 2022 Çarşamba;6 Ocak 2022 Perşembe;1
30.02.10.0020;1000;S0217;BURSA;1;12 Ekim 2021 Salı;14 Ekim 2021 Perşembe;2
30.02.10.0026;120;S0217;BURSA;1;14 Eylül 2020 Pazartesi;15 Eylül 2020 Salı;1
30.02.10.0026;120;S0217;BURSA;1;24 Aralık 2020 Perşembe;25 Aralık 2020 Cuma;1
30.02.10.0027;120;S0217;BURSA;1;24 Aralık 2020 Perşembe;25 Aralık 2020 Cuma;1
30.02.10.0027;120;S0217;BURSA;1;14 Eylül 2020 Pazartesi;15 Eylül 2020 Salı;1
30.02.10.0028;120;S0217;BURSA;1;19 Ağustos 2020 Çarşamba;20 Ağustos 2020 Perşembe;1
30.02.10.0028;120;S0217;BURSA;1;14 Eylül 2020 Pazartesi;15 Eylül 2020 Salı;1
30.02.10.0028;120;S0217;BURSA;1;24 Aralık 2020 Perşembe;25 Aralık 2020 Cuma;1
30.02.10.0031;480;S0217;BURSA;1;14 Şubat 2022 Pazartesi;15 Şubat 2022 Salı;1
30.02.11.0005;240;S0217;BURSA;1;27 Ocak 2016 Çarşamba;28 Ocak 2016 Perşembe;1
30.02.11.0005;480;S0217;BURSA;1;1 Şubat 2013 Cuma;4 Şubat 2013 Pazartesi;3
30.02.11.0024;140;S0217;BURSA;1;29 Nisan 2013 Pazartesi;30 Nisan 2013 Salı;1
30.02.11.0033;300;S0217;BURSA;1;4 Temmuz 2014 Cuma;22 Temmuz 2014 Salı;18
